x,y,z,d
-21.3750701834878,-32.2299625790548,53.2948304443271,1.30139887948846
-21.8197397241562,-28.1667199849276,54.5886071120732,3.02102581054734
-22.9802189055786,-26.8264106283123,57.2503318795656,5.60297189430323
-21.5842243346834,-27.1895803511846,55.020281490731,4.06775875881699
-21.7525092392167,-28.7062444529898,54.257047550815,2.42503765752857
-22.0211439461789,-28.5094710796159,53.9030261886786,2.62454023946437
-22.4274382664211,-27.0216561596991,56.264696512893,4.78636941350605
-21.4838614303495,-28.5175400549809,53.8774560706507,2.58516842076857
-22.0326296555425,-29.4392484212891,54.9583958500728,2.01630007699675
-22.3248967294522,-27.0548602493776,55.7583790690724,4.5102332129062
-21.9336057677687,-29.5111012681599,54.7471715218014,1.83128140264762
-21.1690255581909,-27.5772560568479,53.5361496915342,3.56761137254017
-21.994269826016,-29.2740594466992,55.6943336288807,2.5902009133709
-22.7537476444049,-25.8886509618222,56.9438535333125,6.14445577386198
-22.4287743559985,-28.8879747425841,55.6881642150168,2.96267681876936
-21.9388976965427,-28.0171361198506,54.7174738960209,3.20736105278584
-22.5752270507635,-27.6988329497095,56.0606725858361,4.14578232999594
-21.9995250127952,-29.7656269913107,54.3141192717086,1.45315736703496
-22.6899850318673,-25.8025078658123,56.2202675465034,5.88516200021986
-20.9348811201111,-28.8179391384302,52.2782732758724,2.87753061982719
-22.8439906094422,-26.3146544761687,56.6615783185959,5.66333463858279
-22.8491361883374,-24.5572775683573,56.6482845515589,7.20559685320183
-22.0211650814067,-29.3901323739269,54.874096494618,2.01243417415731
-21.6405132396467,-27.4638693092966,54.5945150875693,3.70208575391266
-22.5442906706214,-27.7062290087363,56.3393905163062,4.28485618227849
-21.6102516731988,-28.8903360387249,54.9991964281049,2.4679855563029
-22.5898249388173,-29.0470787961543,55.6382381016533,2.866306085669
-21.8447456313493,-26.8389498074127,55.4271453477369,4.53305879963267
-22.0207303927136,-28.5934621154557,55.302521966323,2.90289753453809
-23.2757599929118,-26.0338368144935,57.0436961456671,6.19330335380948
